"Step","quality_score","ethereal-thunder-547 - quality_score__MIN","ethereal-thunder-547 - quality_score__MAX"
"352","1","1","1"
"353","1","1","1"
"354","0.9","0.9","0.9"
"355","1","1","1"
"356","0.9","0.9","0.9"
"357","0.8","0.8","0.8"
"358","0.9","0.9","0.9"
"359","0.9","0.9","0.9"
"360","0.9","0.9","0.9"
"361","0.8","0.8","0.8"
"362","1","1","1"
"363","0.9","0.9","0.9"
"364","0.8","0.8","0.8"
"365","0.8","0.8","0.8"
"366","1","1","1"
"367","0.9","0.9","0.9"
"368","0.8","0.8","0.8"
"369","0.9","0.9","0.9"
"370","1","1","1"
"371","1","1","1"
"372","0.9","0.9","0.9"
"373","0.9","0.9","0.9"
"374","0.9","0.9","0.9"
"375","1","1","1"
"376","0.9","0.9","0.9"
"377","1","1","1"
"378","0.9","0.9","0.9"
"379","0.8","0.8","0.8"
"380","0.8","0.8","0.8"
"381","0.9","0.9","0.9"
"382","0.9","0.9","0.9"
"383","0.8","0.8","0.8"
"384","0.9","0.9","0.9"
"385","0.9","0.9","0.9"
"386","0.9","0.9","0.9"
"387","1","1","1"
"388","1","1","1"
"389","0.8","0.8","0.8"
"390","0.8","0.8","0.8"
"391","1","1","1"
"392","0.9","0.9","0.9"
"393","0.8","0.8","0.8"
"394","1","1","1"
"395","0.9","0.9","0.9"
"396","1","1","1"
"397","0.8","0.8","0.8"
"398","0.9","0.9","0.9"
"399","1","1","1"
